true_label,predicted_label,risk_score,decision
1,1,0.9110471048875757,CRITICAL_INTERVENTION
1,1,0.8169340527315574,CRITICAL_INTERVENTION
1,1,0.8326990650608151,CRITICAL_INTERVENTION
1,1,0.8892996564358411,CRITICAL_INTERVENTION
1,1,0.8672466467158593,CRITICAL_INTERVENTION
1,1,0.850129521384124,CRITICAL_INTERVENTION
1,1,0.7832538651189994,HIGH_PRIORITY_ALERT
1,1,0.7384967202590612,HIGH_PRIORITY_ALERT
1,1,0.8360309444772958,CRITICAL_INTERVENTION
1,1,0.77396887188233,HIGH_PRIORITY_ALERT
1,1,0.8677902306050742,CRITICAL_INTERVENTION
1,1,0.8245380244972296,CRITICAL_INTERVENTION
1,1,0.7576588238488868,HIGH_PRIORITY_ALERT
1,1,0.828617961290727,CRITICAL_INTERVENTION
1,1,0.8593452008845773,CRITICAL_INTERVENTION
1,1,0.8220958050778492,CRITICAL_INTERVENTION
1,1,0.7550787857865526,HIGH_PRIORITY_ALERT
1,1,0.8280350753731026,CRITICAL_INTERVENTION
1,1,0.8347057867340743,CRITICAL_INTERVENTION
1,1,0.86745510691641,CRITICAL_INTERVENTION
1,1,0.8602647301807741,CRITICAL_INTERVENTION
1,1,0.7463087182056,HIGH_PRIORITY_ALERT
1,1,0.7749985291864102,HIGH_PRIORITY_ALERT
1,1,0.85218776968311,CRITICAL_INTERVENTION
1,1,0.6907214814050741,HIGH_PRIORITY_ALERT
1,1,0.8641609374251269,CRITICAL_INTERVENTION
1,1,0.7509805706886763,HIGH_PRIORITY_ALERT
1,1,0.7802433240936009,HIGH_PRIORITY_ALERT
1,1,0.9108935647716385,CRITICAL_INTERVENTION
1,1,0.8051768363926387,CRITICAL_INTERVENTION
1,1,0.7887444994863346,HIGH_PRIORITY_ALERT
1,1,0.829534051273721,CRITICAL_INTERVENTION
1,1,0.8032975278757719,CRITICAL_INTERVENTION
1,1,0.7660595425694944,HIGH_PRIORITY_ALERT
1,1,0.8271538979515599,CRITICAL_INTERVENTION
1,1,0.9594075773299223,CRITICAL_INTERVENTION
1,1,0.8740319466672963,CRITICAL_INTERVENTION
1,1,0.8404442209076761,CRITICAL_INTERVENTION
1,1,0.8277640517684548,CRITICAL_INTERVENTION
1,1,0.8656363086774358,CRITICAL_INTERVENTION
1,1,0.853466376616228,CRITICAL_INTERVENTION
1,1,0.7498513679588213,HIGH_PRIORITY_ALERT
1,1,0.8453313039857668,CRITICAL_INTERVENTION
1,1,0.8131464047426671,CRITICAL_INTERVENTION
1,1,0.9297037827888768,CRITICAL_INTERVENTION
1,1,0.7949966958328313,HIGH_PRIORITY_ALERT
1,1,0.8972577396426521,CRITICAL_INTERVENTION
1,1,0.7289124766160809,HIGH_PRIORITY_ALERT
1,1,0.8317157740285472,CRITICAL_INTERVENTION
1,1,0.7600379090016095,HIGH_PRIORITY_ALERT
1,1,0.7483710439809713,HIGH_PRIORITY_ALERT
1,1,0.8648190375514081,CRITICAL_INTERVENTION
1,1,0.7409129466090464,HIGH_PRIORITY_ALERT
1,1,0.8000431788099645,CRITICAL_INTERVENTION
1,1,0.7605996285778511,HIGH_PRIORITY_ALERT
1,1,0.8374323108039078,CRITICAL_INTERVENTION
1,1,0.8289472468878291,CRITICAL_INTERVENTION
1,1,0.6582106361816012,HIGH_PRIORITY_ALERT
1,1,0.8586302455227649,CRITICAL_INTERVENTION
1,1,0.7669994479604613,HIGH_PRIORITY_ALERT
1,1,0.9503588552025894,CRITICAL_INTERVENTION
1,1,0.8717870698119289,CRITICAL_INTERVENTION
1,1,0.876855235730148,CRITICAL_INTERVENTION
1,0,0.6449612013426241,MONITOR
1,1,0.9323421152627199,CRITICAL_INTERVENTION
1,1,0.8144940984803218,CRITICAL_INTERVENTION
1,1,0.718763538535655,HIGH_PRIORITY_ALERT
1,1,0.8328876090159967,CRITICAL_INTERVENTION
1,1,0.9006131910121165,CRITICAL_INTERVENTION
1,1,0.7017704211421334,HIGH_PRIORITY_ALERT
1,1,0.8846100305026949,CRITICAL_INTERVENTION
1,1,0.7892136054244464,HIGH_PRIORITY_ALERT
1,1,0.7726065975302302,HIGH_PRIORITY_ALERT
1,1,0.7819329894843652,HIGH_PRIORITY_ALERT
1,1,0.7546650197667446,HIGH_PRIORITY_ALERT
1,1,0.825163452907164,CRITICAL_INTERVENTION
1,1,0.8283887560280019,CRITICAL_INTERVENTION
1,1,0.8825851098037744,CRITICAL_INTERVENTION
1,1,0.9072454853508866,CRITICAL_INTERVENTION
1,1,0.7893528487380574,HIGH_PRIORITY_ALERT
